table_id,mr1_op,rl_nck,wl_set_a_nck,wl_set_b_nck,nwtp_nck,nrtp_bl24_nck,nrtp_bl48_nck,nacu_nck,source,status
T49,00000,7,4,5,6,7,13,6,Table49,seeded
T49,00001,9,6,7,6,7,13,9,Table49,seeded
T49,00010,12,8,10,7,7,13,12,Table49,seeded
T49,00011,15,8,13,9,7,13,16,Table49,seeded
T49,00100,17,10,15,10,7,13,18,Table49,seeded
T49,00101,20,12,18,12,8,14,21,Table49,seeded
T49,00110,23,12,21,13,8,14,24,Table49,seeded
T49,00111,26,14,24,15,8,14,27,Table49,seeded
T49,01000,30,16,28,17,8,14,31,Table49,seeded
T49,01001,34,18,32,20,8,14,36,Table49,seeded
T49,01010,40,20,38,23,11,23,42,Table49,seeded
T49,01011,46,22,44,26,11,23,47,Table49,seeded
T49,01100,52,24,50,29,13,25,53,Table49,seeded
T49,01101,56,26,54,32,14,26,59,Table49,seeded
T49,01110,TBD,TBD,TBD,TBD,TBD,TBD,TBD,Table49,tbd
T49,01111,TBD,TBD,TBD,TBD,TBD,TBD,TBD,Table49,tbd
T49,10000,TBD,TBD,TBD,TBD,TBD,TBD,TBD,Table49,tbd
T50,00000,7,4,5,6,7,13,6,Table50,seeded
T50,00001,10,6,7,6,7,13,9,Table50,seeded
T50,00010,13,8,10,7,7,13,12,Table50,seeded
T50,00011,17,8,13,9,7,13,16,Table50,seeded
T50,00100,19,10,15,10,7,13,18,Table50,seeded
T50,00101,22,12,18,12,8,14,21,Table50,seeded
T50,00110,25,12,21,13,8,14,24,Table50,seeded
T50,00111,28,14,24,15,8,14,27,Table50,seeded
T50,01000,32,16,28,17,8,14,31,Table50,seeded
T50,01001,37,18,32,20,8,14,36,Table50,seeded
T50,01010,44,20,38,23,11,23,42,Table50,seeded
T50,01011,50,22,44,26,11,23,47,Table50,seeded
T50,01100,56,24,50,29,13,25,53,Table50,seeded
T50,01101,62,26,54,32,14,26,59,Table50,seeded
T50,01110,TBD,TBD,TBD,TBD,TBD,TBD,TBD,Table50,tbd
T50,01111,TBD,TBD,TBD,TBD,TBD,TBD,TBD,Table50,tbd
