source_table,odt_kind,direction,data_rate_upper_mbps,ck_lower_mhz_exclusive,ck_upper_mhz_inclusive,odtlon_formula,odtloff_bl24_formula,odtloff_bl48_formula,async_on_min_ns,async_on_max_ns,async_off_min_ns,async_off_max_ns,status
Table319,DQ_ODT,write_or_wff,1067,20,267,WL-1,TBD,TBD,1.5,3.5,1.5,3.5,partial_tbd
Table319,DQ_ODT,write_or_wff,1600,267,400,WL-2,TBD,TBD,1.5,3.5,1.5,3.5,partial_tbd
Table319,DQ_ODT,write_or_wff,2133,400,533,WL-2,TBD,TBD,1.5,3.5,1.5,3.5,partial_tbd
Table319,DQ_ODT,write_or_wff,2750,533,688,WL-3,TBD,TBD,1.5,3.5,1.5,3.5,partial_tbd
Table319,DQ_ODT,write_or_wff,3200,688,800,WL-3,TBD,TBD,1.5,3.5,1.5,3.5,partial_tbd
Table319,DQ_ODT,write_or_wff,3750,800,938,WL-4,TBD,TBD,1.5,3.5,1.5,3.5,partial_tbd
Table319,DQ_ODT,write_or_wff,4267,938,1067,WL-4,TBD,TBD,1.5,3.5,1.5,3.5,partial_tbd
Table319,DQ_ODT,write_or_wff,4800,1067,1200,WL-5,TBD,TBD,1.5,3.5,1.5,3.5,partial_tbd
Table319,DQ_ODT,write_or_wff,5500,1200,1375,WL-5,TBD,TBD,1.5,3.5,1.5,3.5,partial_tbd
Table319,DQ_ODT,write_or_wff,6400,1375,1600,WL-6,TBD,TBD,1.5,3.5,1.5,3.5,partial_tbd
Table319,DQ_ODT,write_or_wff,7500,1600,1875,WL-7,TBD,TBD,1.5,3.5,1.5,3.5,partial_tbd
Table319,DQ_ODT,write_or_wff,8533,1875,2133,WL-8,TBD,TBD,1.5,3.5,1.5,3.5,partial_tbd
Table319,DQ_ODT,write_or_wff,9600,2133,2400,WL-9,TBD,TBD,1.5,3.5,1.5,3.5,partial_tbd
Table319,DQ_ODT,write_or_wff,10667,2400,2667,WL-10,TBD,TBD,1.5,3.5,1.5,3.5,partial_tbd
Table319,DQ_ODT,write_or_wff,11733,2667,2933,WL-11,TBD,TBD,1.5,3.5,1.5,3.5,partial_tbd
Table319,DQ_ODT,write_or_wff,12800,2933,3200,WL-12,TBD,TBD,1.5,3.5,1.5,3.5,partial_tbd
Table319,DQ_ODT,write_or_wff,14400,3200,3600,WL-13,TBD,TBD,1.5,3.5,1.5,3.5,partial_tbd
Table329,NT_ODT,write_or_wff,1067,20,267,WL-1,WL+7,WL+13,1.5,3.5,1.5,3.5,seeded
Table329,NT_ODT,write_or_wff,1600,267,400,WL-2,WL+7,WL+13,1.5,3.5,1.5,3.5,seeded
Table329,NT_ODT,write_or_wff,2133,400,533,WL-2,WL+7,WL+13,1.5,3.5,1.5,3.5,seeded
Table329,NT_ODT,write_or_wff,2750,533,688,WL-3,WL+7,WL+13,1.5,3.5,1.5,3.5,seeded
Table329,NT_ODT,write_or_wff,3200,688,800,WL-3,WL+7,WL+13,1.5,3.5,1.5,3.5,seeded
Table329,NT_ODT,write_or_wff,3750,800,938,WL-4,WL+7,WL+13,1.5,3.5,1.5,3.5,seeded
Table329,NT_ODT,write_or_wff,4267,938,1067,WL-4,WL+7,WL+13,1.5,3.5,1.5,3.5,seeded
Table329,NT_ODT,write_or_wff,4800,1067,1200,WL-5,WL+8,WL+14,1.5,3.5,1.5,3.5,seeded
Table329,NT_ODT,write_or_wff,5500,1200,1375,WL-5,WL+7,WL+13,1.5,3.5,1.5,3.5,seeded
Table329,NT_ODT,write_or_wff,6400,1375,1600,WL-6,WL+7,WL+13,1.5,3.5,1.5,3.5,seeded
Table329,NT_ODT,write_or_wff,7500,1600,1875,WL-7,WL+8,WL+20,1.5,3.5,1.5,3.5,seeded
Table329,NT_ODT,write_or_wff,8533,1875,2133,WL-8,WL+8,WL+20,1.5,3.5,1.5,3.5,seeded
Table329,NT_ODT,write_or_wff,9600,2133,2400,WL-9,WL+8,WL+20,1.5,3.5,1.5,3.5,seeded
Table329,NT_ODT,write_or_wff,10667,2400,2667,WL-10,WL+8,WL+20,1.5,3.5,1.5,3.5,seeded
Table329,NT_ODT,write_or_wff,11733,2667,2933,WL-11,TBD,TBD,1.5,3.5,1.5,3.5,tbd
Table329,NT_ODT,write_or_wff,12800,2933,3200,WL-12,TBD,TBD,1.5,3.5,1.5,3.5,tbd
Table329,NT_ODT,write_or_wff,14400,3200,3600,WL-13,TBD,TBD,1.5,3.5,1.5,3.5,tbd
