field_id,mr,bits,access,function,default_or_reset,fsp_scoped,timing_relevance,comment_ko,source,status
MR0_TYPE,MR0,OP[1:0],R,Supported data rate,00B,no,data_rate,"지원 data rate 범위 표시. 00B는 최대 10667Mbps 지원",Table45,seeded
MR0_EFF_STATUS,MR0,OP[2],R,Efficiency mode status,device,no,efficiency,"0이면 Normal/DEFF 전환 가능. 1이면 Static Efficiency only",Table45,seeded
MR0_SUB_CH,MR0,OP[3],R,Sub-channel indicator,device,no,sub_channel,"0은 Primary SC0. 1은 Secondary SC1",Table45,seeded
MR0_DENSITY,MR0,OP[7:4],R,Density per die,device,no,addressing,"Die density 표시. 미정의 코드는 Reserved",Table45,seeded
MR1_LATENCY_CODE,MR1,OP[4:0],R/W,RL WL nWTP nRTP nACU selector,00000B,yes,latency,"속도와 기능 조건별 latency table에서 RL/WL 등을 고르는 핵심 code",Table47,seeded
MR1_WLS,MR1,OP[5],R/W,Write Latency Set,0B,yes,latency,"0이면 WL Set A. 1이면 WL Set B",Table47,seeded
MR1_EFF_CNTL,MR1,OP[6],R/W,Dynamic Efficiency mode control,0B,yes,efficiency,"0은 Normal. 1은 Dynamic Efficiency mode. Static-only device에서는 무시",Table47,seeded
MR1_EFF_LATENCY,MR1,OP[7],R,Efficiency Mode Latency,device,yes,latency,"MR1 OP[6]와 package 구성에 의해 자동 업데이트되는 read-only latency 상태",Table47,seeded
MR3_DBI_RD,MR3,OP[0],R/W,Read DBI,0B,yes,latency,"Read DBI enable 여부가 RL Set 선택에 들어감",Table43_Table47,partial
MR3_EDBI_WR,MR3,OP[1],R/W,Enhanced Write DBI,0B,yes,write_data,"Write DBI 관련 기능. 상세 table 추출 필요",Table43,partial
MR3_PDDS,MR3,OP[7:5],R/W,Pull-down driver strength,device,yes,io,"DQ driver strength 계열로 Table400 output timing 영향 MR에 포함",Table43_Table400,partial
MR9_VENDOR_TEST,MR9,OP[7:0],W,Vendor specific test register,00H,no,test,"스펙상 00H만 write해야 하는 vendor test register",Table88,seeded
MR10_RDQS_PS,MR10,OP[0],W,RDQS pre-shift,0B,yes,rdqs,"0은 0*tWCK. 1은 2*tWCK이며 8533Mbps 초과에서만 허용",Table90,seeded
MR10_RDQS_RT,MR10,OP[1],W,RDQS to WCK ratio,0B,yes,rdqs,"0은 WCK:RDQS 1:1. 1은 2:1",Table90,seeded
MR10_RDQS_PRE,MR10,OP[4:2],W,RDQS preamble length,000B,yes,rdqs,"RDQS static/toggle preamble 길이 선택. 010/011은 8533Mbps 초과에서만 허용",Table90,seeded
