field_id,value,meaning,effect,illegal_or_warning,condition,comment_ko,source,status
MR0_TYPE,00B,Up to 10667Mbps,device data-rate capability,ok,always,"기본 지원 data rate type",Table45,seeded
MR0_TYPE,01B,RFU,do not use,illegal,always,"RFU 값",Table45,seeded
MR0_TYPE,10B,RFU,do not use,illegal,always,"RFU 값",Table45,seeded
MR0_TYPE,11B,RFU,do not use,illegal,always,"RFU 값",Table45,seeded
MR0_EFF_STATUS,0B,Switchable Normal and Dynamic Efficiency,DEFF switchable,ok,always,"Normal과 DEFF 전환 가능",Table45,seeded
MR0_EFF_STATUS,1B,Static Efficiency only,SEFF only,ok,always,"Static Efficiency mode only device",Table45,seeded
MR1_WLS,0B,WL Set A,select WL Set A,ok,always,"Write latency Set A 사용",Table47,seeded
MR1_WLS,1B,WL Set B,select WL Set B,ok,always,"Write latency Set B 사용",Table47,seeded
MR1_EFF_CNTL,0B,Normal,efficiency disabled,ok,MR0.OP[2]==0,"Normal mode",Table47,seeded
MR1_EFF_CNTL,1B,Dynamic Efficiency mode,efficiency enabled,ok,MR0.OP[2]==0,"DEFF 진입",Table47,seeded
MR1_EFF_CNTL,X,Ignored,ignored,warning,MR0.OP[2]==1,"Static Efficiency only device에서는 MR1 OP6 read/write 의미 없음",Table47_Note7,seeded
MR9_VENDOR_TEST,00H,Allowed write value,normal,ok,always,"Vendor specific test register에는 00H만 write",Table88,seeded
MR9_VENDOR_TEST,not_00H,Prohibited write value,vendor test misuse,illegal,always,"00H 외 write 금지",Table88_Note1,seeded
MR10_RDQS_PS,0B,0*tWCK,no pre-shift,ok,always,"모든 frequency에서 지원",Table90,seeded
MR10_RDQS_PS,1B,2*tWCK,pre-shift by 2*tWCK,ok,data_rate_mbps>8533,"8533Mbps 초과에서만 허용",Table90_Note5,seeded
MR10_RDQS_PS,1B,2*tWCK,pre-shift by 2*tWCK,illegal,data_rate_mbps<=8533,"저속 영역에서는 금지",Table90_Note5,seeded
MR10_RDQS_PRE,000B,4*tWCK static and 0*tWCK toggle or 2*Unit static,default preamble,ok,always,"기본 preamble",Table90,seeded
MR10_RDQS_PRE,001B,2*tWCK static and 2*tWCK toggle or 1*Unit static and 1*Unit toggle,preamble option,ok,always,"모든 frequency 지원",Table90_Note6,seeded
MR10_RDQS_PRE,010B,4*tWCK static and 4*tWCK toggle or 2*Unit static and 2*Unit toggle,preamble option,ok,data_rate_mbps>8533,"8533Mbps 초과에서만 허용",Table90_Note7,seeded
MR10_RDQS_PRE,011B,2*tWCK static and 6*tWCK toggle or 1*Unit static and 3*Unit toggle,preamble option,ok,data_rate_mbps>8533,"8533Mbps 초과에서만 허용",Table90_Note7,seeded
MR10_RDQS_PRE,100B_111B,RFU,do not use,illegal,always,"RFU preamble code",Table90,seeded
MR10_RDQS_PST_LEN,00B,0.5*tWCK or 0.5*Unit toggle,default postamble,ok,always,"기본 RDQS postamble",Table90,seeded
MR10_RDQS_PST_LEN,01B,2.5*tWCK or 2.5*Unit toggle,postamble length,ok,always,"tRTW ODT enabled 식에서 tRPST 후보",Table90,seeded
