rule_id,target_symbol,rule_type,priority,source,current_cmd_class,next_cmd_class,conditions_all,without_new_sync_min,without_new_sync_max,with_new_sync_min,with_new_sync_max,normalized_unit,decision_ko,status
CMD_RD_TO_RD_SYNC_ON,command_window,decision,100,Table263,read_class,read_class,wck_sync_state==on,BLN,RL+BLN_MIN+RD(tWCKPST/tCK),RL+BLN_MIN+RD(tWCKPST/tCK)+1,open,nCK,WS=0은 min 이상 max 이하에서만 가능하고 max 초과 시 새 WS=1 sync 필요,partial
CMD_WR_TO_WR_SYNC_ON,command_window,decision,100,Table263,write_class,write_class,wck_sync_state==on,BLN,WL+BLN_MIN+RD(tWCKPST/tCK),WL+BLN_MIN+RD(tWCKPST/tCK)+1,open,nCK,WS=0은 min 이상 max 이하에서만 가능하고 max 초과 시 새 WS=1 sync 가능,partial
CMD_RD_TO_WR_SYNC_ON,command_window,decision,100,Table263_Table389_Table390,read_class,write_class,wck_sync_state==on,tRTW_FINAL,RL+BLN_MIN+RD(tWCKPST/tCK),not_allowed,not_allowed,nCK,Read 이후 Write는 sync off 전 window 안에서만 WS=0 가능하고 WS=1 재sync는 해당 window 안에서 illegal,active
CMD_WR_TO_RD_SYNC_ON,command_window,decision,100,Table263_Table383_Table385,write_class,read_class,wck_sync_state==on,not_allowed,not_allowed,WL+BLN_BY_BG+tWTR_BY_BG,open,nCK,Write 이후 Read는 normal path에서 새 WCK2CK sync가 필요,active
CMD_MRR_TO_WR_SYNC_ON,command_window,decision,100,Table263,read_class,write_class,current_cmd==MRR|wck_sync_state==on,tRTW_FINAL+2,RL+BLN_MIN+RD(tWCKPST/tCK),RL+BLN_MIN+RD(tWCKPST/tCK)+1,open,nCK,MRR 이후 WR은 tRTW+2부터 sync deadline까지 WS=0 가능,partial
CMD_RD_TO_MRR_SYNC_ON,command_window,decision,100,Table263,read_class,mode_read_class,next_cmd==MRR|wck_sync_state==on,not_allowed,not_allowed,RL+BLN_MAX+RD(tWCKPST/tCK)+1,open,nCK,RD 이후 MRR은 새 sync start 기준으로만 허용,partial
CMD_WR_TO_MRR_SYNC_ON,command_window,decision,100,Table263,write_class,mode_read_class,next_cmd==MRR|wck_sync_state==on,not_allowed,not_allowed,WL+BLN_MAX+tWTR_L_nCK,open,nCK,WR 이후 MRR은 새 sync start 기준으로만 허용,partial
CMD_RD_TO_WR_ODT_OFF_SAME_BG,command_min_gap,formula,90,Table389,read_class,write_class,same_bg==true|dq_odt_effective_enabled==false,tRTW_FINAL,NA,NA,NA,nCK,tRTW base는 RL+BLN_MAX+RU(tWCK2DQO/tCK)-WL 후 note와 EVEN 적용,active
CMD_RD_TO_WR_ODT_OFF_DIFF_BG,command_min_gap,formula,90,Table390,read_class,write_class,same_bg==false|dq_odt_effective_enabled==false,tRTW_FINAL,NA,NA,NA,nCK,tRTW base는 RL+BLN_MIN+RU(tWCK2DQO/tCK)-WL 후 note와 EVEN 적용,active
CMD_RD_TO_WR_ODT_ON_SAME_BG,command_min_gap,formula,90,Table389,read_class,write_class,same_bg==true|dq_odt_effective_enabled==true,tRTW_FINAL,NA,NA,NA,nCK,tRTW base는 RL+BLN_MAX+RU(tWCK2DQO/tCK)+RD(tRPST/tCK)-ODTLon-RD(tODTon_min/tCK)+1 후 note와 EVEN 적용,active
CMD_RD_TO_WR_ODT_ON_DIFF_BG,command_min_gap,formula,90,Table390,read_class,write_class,same_bg==false|dq_odt_effective_enabled==true,tRTW_FINAL,NA,NA,NA,nCK,tRTW base는 RL+BLN_MIN+RU(tWCK2DQO/tCK)+RD(tRPST/tCK)-ODTLon-RD(tODTon_min/tCK)+1 후 note와 EVEN 적용,active
CMD_WR_TO_RD_SAME_BG,command_min_gap,formula,90,Table383_Table384_Table263,write_class,read_class,same_bg==true,WL+BLN_MAX+tWTR_L_nCK,NA,NA,NA,nCK,Write command부터 WL와 burst interval을 지난 뒤 tWTR_L을 더한 위치가 다음 Read command 기준,active
CMD_WR_TO_RD_DIFF_BG,command_min_gap,formula,90,Table385_Table263,write_class,read_class,same_bg==false,WL+BLN_MIN+tWTR_S_nCK,NA,NA,NA,nCK,Write command부터 WL와 burst interval을 지난 뒤 tWTR_S를 더한 위치가 다음 Read command 기준,active
