source_table,target,rdqs_enabled,rdqs_ps,rdqs_pre_group,data_rate_upper_mbps,ck_lower_mhz_exclusive,ck_upper_mhz_inclusive,odtloff_formula,odtlon_bl24_formula,odtlon_bl48_formula,async_on_min_ns,async_on_max_ns,async_off_min_ns,async_off_max_ns,status
Table331,DQ,any,NA,NA,1067,20,267,RL-1,RL+7,RL+13,1.5,3.5,1.5,3.5,seeded
Table331,DQ,any,NA,NA,1600,267,400,RL-2,RL+7,RL+13,1.5,3.5,1.5,3.5,seeded
Table331,DQ,any,NA,NA,2133,400,533,RL-2,RL+8,RL+14,1.5,3.5,1.5,3.5,seeded
Table331,DQ,any,NA,NA,2750,533,688,RL-3,RL+8,RL+14,1.5,3.5,1.5,3.5,seeded
Table331,DQ,any,NA,NA,3200,688,800,RL-3,RL+8,RL+14,1.5,3.5,1.5,3.5,seeded
Table331,DQ,any,NA,NA,3750,800,938,RL-4,RL+8,RL+14,1.5,3.5,1.5,3.5,seeded
Table331,DQ,any,NA,NA,4267,938,1067,RL-4,RL+9,RL+15,1.5,3.5,1.5,3.5,seeded
Table331,DQ,any,NA,NA,4800,1067,1200,RL-5,RL+9,RL+15,1.5,3.5,1.5,3.5,seeded
Table331,DQ,any,NA,NA,5500,1200,1375,RL-5,RL+9,RL+15,1.5,3.5,1.5,3.5,seeded
Table331,DQ,any,NA,NA,6400,1375,1600,RL-6,RL+9,RL+15,1.5,3.5,1.5,3.5,seeded
Table331,DQ,any,NA,NA,7500,1600,1875,RL-7,RL+10,RL+22,1.5,3.5,1.5,3.5,seeded
Table331,DQ,any,NA,NA,8533,1875,2133,RL-8,RL+10,RL+22,1.5,3.5,1.5,3.5,seeded
Table331,DQ,any,NA,NA,9600,2133,2400,RL-9,RL+10,RL+22,1.5,3.5,1.5,3.5,seeded
Table331,DQ,any,NA,NA,10667,2400,2667,RL-10,RL+11,RL+23,1.5,3.5,1.5,3.5,seeded
Table331,DQ,any,NA,NA,11733,2667,2933,RL-11,TBD,TBD,1.5,3.5,1.5,3.5,tbd
Table331,DQ,any,NA,NA,12800,2933,3200,RL-12,TBD,TBD,1.5,3.5,1.5,3.5,tbd
Table331,DQ,any,NA,NA,14400,3200,3600,RL-13,TBD,TBD,1.5,3.5,1.5,3.5,tbd
Table332,RDQS,enabled,0,000_or_001,1067,20,267,RL-3,RL+9,RL+15,1.5,3.5,1.5,3.5,seeded
Table332,RDQS,enabled,0,000_or_001,1600,267,400,RL-4,RL+9,RL+15,1.5,3.5,1.5,3.5,seeded
Table332,RDQS,enabled,0,000_or_001,2133,400,533,RL-4,RL+10,RL+16,1.5,3.5,1.5,3.5,seeded
Table332,RDQS,enabled,0,000_or_001,2750,533,688,RL-5,RL+10,RL+16,1.5,3.5,1.5,3.5,seeded
Table332,RDQS,enabled,0,000_or_001,3200,688,800,RL-5,RL+10,RL+16,1.5,3.5,1.5,3.5,seeded
Table332,RDQS,enabled,0,000_or_001,3750,800,938,RL-6,RL+10,RL+16,1.5,3.5,1.5,3.5,seeded
Table332,RDQS,enabled,0,000_or_001,4267,938,1067,RL-6,RL+11,RL+17,1.5,3.5,1.5,3.5,seeded
Table332,RDQS,enabled,0,000_or_001,4800,1067,1200,RL-7,RL+11,RL+17,1.5,3.5,1.5,3.5,seeded
Table332,RDQS,enabled,0,000_or_001,5500,1200,1375,RL-7,RL+11,RL+17,1.5,3.5,1.5,3.5,seeded
Table332,RDQS,enabled,0,000_or_001,6400,1375,1600,RL-8,RL+11,RL+17,1.5,3.5,1.5,3.5,seeded
Table332,RDQS,enabled,0,000_or_001,7500,1600,1875,RL-9,RL+12,RL+24,1.5,3.5,1.5,3.5,seeded
Table332,RDQS,enabled,0,000_or_001,8533,1875,2133,RL-10,RL+12,RL+24,1.5,3.5,1.5,3.5,seeded
Table332,RDQS,enabled,0,000_or_001,9600,2133,2400,RL-11,RL+12,RL+24,1.5,3.5,1.5,3.5,seeded
Table332,RDQS,enabled,0,000_or_001,10667,2400,2667,RL-12,RL+13,RL+25,1.5,3.5,1.5,3.5,seeded
Table332,RDQS,enabled,0,000_or_001,11733,2667,2933,RL-13,TBD,TBD,1.5,3.5,1.5,3.5,tbd
Table332,RDQS,enabled,0,000_or_001,12800,2933,3200,RL-14,TBD,TBD,1.5,3.5,1.5,3.5,tbd
Table332,RDQS,enabled,0,000_or_001,14400,3200,3600,RL-15,TBD,TBD,1.5,3.5,1.5,3.5,tbd
Table333,RDQS,enabled,0,010_or_011,9600,2133,2400,RL-13,RL+12,RL+24,1.5,3.5,1.5,3.5,seeded
Table333,RDQS,enabled,0,010_or_011,10667,2400,2667,RL-14,RL+13,RL+25,1.5,3.5,1.5,3.5,seeded
Table333,RDQS,enabled,0,010_or_011,11733,2667,2933,RL-15,TBD,TBD,1.5,3.5,1.5,3.5,tbd
Table333,RDQS,enabled,0,010_or_011,12800,2933,3200,RL-16,TBD,TBD,1.5,3.5,1.5,3.5,tbd
Table333,RDQS,enabled,0,010_or_011,14400,3200,3600,RL-17,TBD,TBD,1.5,3.5,1.5,3.5,tbd
Table334,RDQS,enabled,1,000_or_001,9600,2133,2400,RL-12,RL+11,RL+23,1.5,3.5,1.5,3.5,seeded
Table334,RDQS,enabled,1,000_or_001,10667,2400,2667,RL-13,RL+12,RL+24,1.5,3.5,1.5,3.5,seeded
Table334,RDQS,enabled,1,000_or_001,11733,2667,2933,RL-14,TBD,TBD,1.5,3.5,1.5,3.5,tbd
Table334,RDQS,enabled,1,000_or_001,12800,2933,3200,RL-15,TBD,TBD,1.5,3.5,1.5,3.5,tbd
Table334,RDQS,enabled,1,000_or_001,14400,3200,3600,RL-16,TBD,TBD,1.5,3.5,1.5,3.5,tbd
Table335,RDQS,enabled,1,010_or_011,9600,2133,2400,RL-14,RL+11,RL+23,1.5,3.5,1.5,3.5,seeded
Table335,RDQS,enabled,1,010_or_011,10667,2400,2667,RL-15,RL+12,RL+24,1.5,3.5,1.5,3.5,seeded
Table335,RDQS,enabled,1,010_or_011,11733,2667,2933,RL-16,TBD,TBD,1.5,3.5,1.5,3.5,tbd
Table335,RDQS,enabled,1,010_or_011,12800,2933,3200,RL-17,TBD,TBD,1.5,3.5,1.5,3.5,tbd
Table335,RDQS,enabled,1,010_or_011,14400,3200,3600,RL-18,TBD,TBD,1.5,3.5,1.5,3.5,tbd
