source_table,dvfsl,write_link_protection,efficiency_mode,mr1_op,data_rate_lower_mbps,data_rate_upper_mbps,ck_lower_mhz_exclusive,ck_upper_mhz_inclusive,nwtp_nck,formula_floor,status
Table274,disabled,disabled,disabled,00000,80,1067,20,267,6,Max(12ns;6nCK),seeded
Table274,disabled,disabled,disabled,00001,1067,1600,267,400,6,Max(12ns;6nCK),seeded
Table274,disabled,disabled,disabled,00010,1600,2133,400,533,7,Max(12ns;6nCK),seeded
Table274,disabled,disabled,disabled,00011,2133,2750,533,688,9,Max(12ns;6nCK),seeded
Table274,disabled,disabled,disabled,00100,2750,3200,688,800,10,Max(12ns;6nCK),seeded
Table274,disabled,disabled,disabled,00101,3200,3750,800,938,12,Max(12ns;6nCK),seeded
Table274,disabled,disabled,disabled,00110,3750,4267,938,1067,13,Max(12ns;6nCK),seeded
Table274,disabled,disabled,disabled,00111,4267,4800,1067,1200,15,Max(12ns;6nCK),seeded
Table274,disabled,disabled,disabled,01000,4800,5500,1200,1375,17,Max(12ns;6nCK),seeded
Table274,disabled,disabled,disabled,01001,5500,6400,1375,1600,20,Max(12ns;6nCK),seeded
Table274,disabled,disabled,disabled,01010,6400,7500,1600,1875,23,Max(12ns;6nCK),seeded
Table274,disabled,disabled,disabled,01011,7500,8533,1875,2133,26,Max(12ns;6nCK),seeded
Table274,disabled,disabled,disabled,01100,8533,9600,2133,2400,29,Max(12ns;6nCK),seeded
Table274,disabled,disabled,disabled,01101,9600,10667,2400,2667,32,Max(12ns;6nCK),seeded
Table274,disabled,disabled,disabled,01110,10667,11733,2667,2933,TBD,Max(12ns;6nCK),tbd
Table274,disabled,disabled,disabled,01111,11733,12800,2933,3200,TBD,Max(12ns;6nCK),tbd
Table274,disabled,disabled,disabled,10000,12800,14400,3200,3600,TBD,Max(12ns;6nCK),tbd
Table275,disabled,disabled,enabled,00000,80,1067,20,267,6,Max(14ns;6nCK),seeded
Table275,disabled,disabled,enabled,00001,1067,1600,267,400,6,Max(14ns;6nCK),seeded
Table275,disabled,disabled,enabled,00010,1600,2133,400,533,8,Max(14ns;6nCK),seeded
Table275,disabled,disabled,enabled,00011,2133,2750,533,688,10,Max(14ns;6nCK),seeded
Table275,disabled,disabled,enabled,00100,2750,3200,688,800,12,Max(14ns;6nCK),seeded
Table275,disabled,disabled,enabled,00101,3200,3750,800,938,14,Max(14ns;6nCK),seeded
Table275,disabled,disabled,enabled,00110,3750,4267,938,1067,15,Max(14ns;6nCK),seeded
Table275,disabled,disabled,enabled,00111,4267,4800,1067,1200,17,Max(14ns;6nCK),seeded
Table275,disabled,disabled,enabled,01000,4800,5500,1200,1375,20,Max(14ns;6nCK),seeded
Table275,disabled,disabled,enabled,01001,5500,6400,1375,1600,23,Max(14ns;6nCK),seeded
Table275,disabled,disabled,enabled,01010,6400,7500,1600,1875,27,Max(14ns;6nCK),seeded
Table275,disabled,disabled,enabled,01011,7500,8533,1875,2133,30,Max(14ns;6nCK),seeded
Table275,disabled,disabled,enabled,01100,8533,9600,2133,2400,34,Max(14ns;6nCK),seeded
Table275,disabled,disabled,enabled,01101,9600,10667,2400,2667,38,Max(14ns;6nCK),seeded
Table275,disabled,disabled,enabled,01110,10667,11733,2667,2933,TBD,Max(14ns;6nCK),tbd
Table275,disabled,disabled,enabled,01111,11733,12800,2933,3200,TBD,Max(14ns;6nCK),tbd
Table275,disabled,disabled,enabled,10000,12800,14400,3200,3600,TBD,Max(14ns;6nCK),tbd
Table276,disabled,enabled,disabled,00000,80,1067,20,267,6,Max(16ns;6nCK),seeded
Table276,disabled,enabled,disabled,00001,1067,1600,267,400,7,Max(16ns;6nCK),seeded
Table276,disabled,enabled,disabled,00010,1600,2133,400,533,9,Max(16ns;6nCK),seeded
Table276,disabled,enabled,disabled,00011,2133,2750,533,688,12,Max(16ns;6nCK),seeded
Table276,disabled,enabled,disabled,00100,2750,3200,688,800,13,Max(16ns;6nCK),seeded
Table276,disabled,enabled,disabled,00101,3200,3750,800,938,15,Max(16ns;6nCK),seeded
Table276,disabled,enabled,disabled,00110,3750,4267,938,1067,18,Max(16ns;6nCK),seeded
Table276,disabled,enabled,disabled,00111,4267,4800,1067,1200,20,Max(16ns;6nCK),seeded
Table276,disabled,enabled,disabled,01000,4800,5500,1200,1375,23,Max(16ns;6nCK),seeded
Table276,disabled,enabled,disabled,01001,5500,6400,1375,1600,26,Max(16ns;6nCK),seeded
Table276,disabled,enabled,disabled,01010,6400,7500,1600,1875,31,Max(16ns;6nCK),seeded
Table276,disabled,enabled,disabled,01011,7500,8533,1875,2133,35,Max(16ns;6nCK),seeded
Table276,disabled,enabled,disabled,01100,8533,9600,2133,2400,39,Max(16ns;6nCK),seeded
Table276,disabled,enabled,disabled,01101,9600,10667,2400,2667,43,Max(16ns;6nCK),seeded
Table276,disabled,enabled,disabled,01110,10667,11733,2667,2933,TBD,Max(16ns;6nCK),tbd
Table276,disabled,enabled,disabled,01111,11733,12800,2933,3200,TBD,Max(16ns;6nCK),tbd
Table276,disabled,enabled,disabled,10000,12800,14400,3200,3600,TBD,Max(16ns;6nCK),tbd
Table277,disabled,enabled,enabled,00000,80,1067,20,267,6,Max(18ns;6nCK),seeded
Table277,disabled,enabled,enabled,00001,1067,1600,267,400,8,Max(18ns;6nCK),seeded
Table277,disabled,enabled,enabled,00010,1600,2133,400,533,10,Max(18ns;6nCK),seeded
Table277,disabled,enabled,enabled,00011,2133,2750,533,688,13,Max(18ns;6nCK),seeded
Table277,disabled,enabled,enabled,00100,2750,3200,688,800,15,Max(18ns;6nCK),seeded
Table277,disabled,enabled,enabled,00101,3200,3750,800,938,17,Max(18ns;6nCK),seeded
Table277,disabled,enabled,enabled,00110,3750,4267,938,1067,20,Max(18ns;6nCK),seeded
Table277,disabled,enabled,enabled,00111,4267,4800,1067,1200,22,Max(18ns;6nCK),seeded
Table277,disabled,enabled,enabled,01000,4800,5500,1200,1375,25,Max(18ns;6nCK),seeded
Table277,disabled,enabled,enabled,01001,5500,6400,1375,1600,29,Max(18ns;6nCK),seeded
Table277,disabled,enabled,enabled,01010,6400,7500,1600,1875,34,Max(18ns;6nCK),seeded
Table277,disabled,enabled,enabled,01011,7500,8533,1875,2133,39,Max(18ns;6nCK),seeded
Table277,disabled,enabled,enabled,01100,8533,9600,2133,2400,44,Max(18ns;6nCK),seeded
Table277,disabled,enabled,enabled,01101,9600,10667,2400,2667,48,Max(18ns;6nCK),seeded
Table277,disabled,enabled,enabled,01110,10667,11733,2667,2933,TBD,Max(18ns;6nCK),tbd
Table277,disabled,enabled,enabled,01111,11733,12800,2933,3200,TBD,Max(18ns;6nCK),tbd
