source_table,read_link_protection,dvfsl,mr1_op,data_rate_lower_mbps,data_rate_upper_mbps,ck_lower_mhz_exclusive,ck_upper_mhz_inclusive,rl_set0_nck,rl_set1_nck,rl_set2_nck,nrtp_bl24_nck,nrtp_bl48_nck,status
Table269,disabled,disabled,00000,80,1067,20,267,7,7,8,7,13,seeded
Table269,disabled,disabled,00001,1067,1600,267,400,9,10,11,7,13,seeded
Table269,disabled,disabled,00010,1600,2133,400,533,12,13,14,7,13,seeded
Table269,disabled,disabled,00011,2133,2750,533,688,15,17,18,7,13,seeded
Table269,disabled,disabled,00100,2750,3200,688,800,17,19,21,7,13,seeded
Table269,disabled,disabled,00101,3200,3750,800,938,20,22,24,8,14,seeded
Table269,disabled,disabled,00110,3750,4267,938,1067,23,25,28,8,14,seeded
Table269,disabled,disabled,00111,4267,4800,1067,1200,26,28,31,8,14,seeded
Table269,disabled,disabled,01000,4800,5500,1200,1375,30,32,35,8,14,seeded
Table269,disabled,disabled,01001,5500,6400,1375,1600,34,37,41,8,14,seeded
Table269,disabled,disabled,01010,6400,7500,1600,1875,40,44,48,11,23,seeded
Table269,disabled,disabled,01011,7500,8533,1875,2133,46,50,54,11,23,seeded
Table269,disabled,disabled,01100,8533,9600,2133,2400,52,56,62,13,25,seeded
Table269,disabled,disabled,01101,9600,10667,2400,2667,56,62,68,14,26,seeded
Table269,disabled,disabled,01110,10667,11733,2667,2933,TBD,TBD,TBD,TBD,TBD,tbd
Table269,disabled,disabled,01111,11733,12800,2933,3200,TBD,TBD,TBD,TBD,TBD,tbd
Table269,disabled,disabled,10000,12800,14400,3200,3600,TBD,TBD,TBD,TBD,TBD,tbd
Table270,enabled,disabled,00000,80,1067,20,267,7,8,NA,7,13,seeded
Table270,enabled,disabled,00001,1067,1600,267,400,11,11,NA,7,13,seeded
Table270,enabled,disabled,00010,1600,2133,400,533,14,15,NA,7,13,seeded
Table270,enabled,disabled,00011,2133,2750,533,688,17,19,NA,7,13,seeded
Table270,enabled,disabled,00100,2750,3200,688,800,20,22,NA,7,13,seeded
Table270,enabled,disabled,00101,3200,3750,800,938,23,25,NA,8,14,seeded
Table270,enabled,disabled,00110,3750,4267,938,1067,26,28,NA,8,14,seeded
Table270,enabled,disabled,00111,4267,4800,1067,1200,29,32,NA,8,14,seeded
Table270,enabled,disabled,01000,4800,5500,1200,1375,33,36,NA,8,14,seeded
Table270,enabled,disabled,01001,5500,6400,1375,1600,39,42,NA,8,14,seeded
Table270,enabled,disabled,01010,6400,7500,1600,1875,46,50,NA,11,23,seeded
Table270,enabled,disabled,01011,7500,8533,1875,2133,52,56,NA,11,23,seeded
Table270,enabled,disabled,01100,8533,9600,2133,2400,58,64,NA,13,25,seeded
Table270,enabled,disabled,01101,9600,10667,2400,2667,64,70,NA,14,26,seeded
Table270,enabled,disabled,01110,10667,11733,2667,2933,TBD,TBD,NA,TBD,TBD,tbd
Table270,enabled,disabled,01111,11733,12800,2933,3200,TBD,TBD,NA,TBD,TBD,tbd
Table270,enabled,disabled,10000,12800,14400,3200,3600,TBD,TBD,NA,TBD,TBD,tbd
Table271,disabled,enabled,00000,80,1067,20,267,7,8,9,7,13,seeded
Table271,disabled,enabled,00001,1067,1600,267,400,10,11,12,7,13,seeded
Table271,disabled,enabled,00010,1600,2133,400,533,14,15,16,7,13,seeded
Table271,disabled,enabled,00011,2133,2750,533,688,17,19,21,8,14,seeded
Table271,disabled,enabled,00100,2750,3200,688,800,20,22,24,8,14,seeded
Table272,enabled,enabled,00000,80,1067,20,267,8,9,NA,7,13,seeded
Table272,enabled,enabled,00001,1067,1600,267,400,12,13,NA,7,13,seeded
Table272,enabled,enabled,00010,1600,2133,400,533,15,17,NA,7,13,seeded
Table272,enabled,enabled,00011,2133,2750,533,688,19,21,NA,8,14,seeded
Table272,enabled,enabled,00100,2750,3200,688,800,22,24,NA,8,14,seeded
