symbol,category,raw_unit,calc_unit,domain,definition_ko,source,primary_conditions,dependencies,mr_dependencies,status
RL,latency,nCK,nCK,CK,"Read command부터 read data/output 관련 기준까지의 read latency",MR1_Table49_72,"MR1 latency table selector","MR1 OP[4:0]|rl_set","MR1|MR3|MR23|MR11|MR0",partial
WL,latency,nCK,nCK,CK,"Write command부터 write data input 기준까지의 write latency",MR1_Table49_72,"MR1 OP[5] WLS","MR1 OP[4:0]|wl_set","MR1",partial
nWTP,latency,nCK,nCK,CK,"Write AP command 후 WL+BL/n_max 이후 internal precharge 시작점 결정 cycle",MR1_Table49_72_Table273_281,"DVFSL|Write Link Protection|Efficiency|MR1 OP[4:0]","MR1 OP[4:0]|data_rate|dvfsl|write_link_protection|efficiency","MR1|MR23|MR11",seeded
nRTP,latency,nCK,nCK,CK,"Read with AP 후 internal precharge 시작점 결정 cycle",MR1_Table49_72_Table268_272,"Read Link Protection|DVFSL|Read DBI|Efficiency|BL24/BL48","MR1 OP[4:0]|burst_length|data_rate|read_link_protection|dvfsl","MR1|MR23|MR11|MR3",seeded
nACU,latency,nCK,nCK,CK,"Activation counter update cycle",MR1_Table49_72_Table415_Table420,"DVFSL and speed grade","data_rate|dvfsl","MR1|MR11",seeded
BLN,burst,nCK,nCK,CK,"최소 column-to-column cycle time tCCD(min)",Table381_Table382,"WCK frequency|same BG|BL","tCCD_L|burst_length|bank_relation","none",seeded
BLN_MIN,burst,nCK,nCK,CK,"DQ bus에서 최소 burst data transfer time",Table381,"WCK frequency|BL","burst_length|bank_relation","none",review
BLN_MAX,burst,nCK,nCK,CK,"다음 column array cycle 허용을 위한 required column array cycle time",Table381,"WCK frequency|BL|same BG","burst_length|bank_relation","none",review
tCCD_L,core_ac,ns,nCK,CK,"Same BG 고속 조건에서 BL/n을 키우는 column-to-column timing",Table382,"data_rate range","data_rate|tCK","none",seeded
tWTR_S,core_ac,ns_or_nCK,nCK,CK,"Write 후 Different BG Read까지 필요한 WRITE to READ delay",Table414_423,"DVFSL|Link Protection|Efficiency","tCK|dvfsl|link_protection|efficiency","MR11|MR23|MR1|MR0",seeded
tWTR_L,core_ac,ns_or_nCK,nCK,CK,"Write 후 Same BG Read까지 필요한 WRITE to READ delay",Table414_423,"DVFSL|Link Protection|Efficiency","tCK|dvfsl|link_protection|efficiency","MR11|MR23|MR1|MR0",seeded
tRTW_BASE,command,nCK,nCK,CK,"Read to Write command gap의 base 식",Table389_Table390,"same BG|DQ ODT effective","RL|WL|BLN_MIN/MAX|tWCK2DQO|max|tRPST|ODTLon|tODTon","MR1|MR10|MR11|MR19|MR20|MR22",seeded
tRTW_FINAL,command,nCK,nCK,command,"DFE note와 even rounding까지 적용한 최종 Read to Write command gap",Table389_Table390_notes,"DFEQ|PDFE|even protocol","tRTW_BASE|DFE adders","MR41|MR70_75",seeded
tWCK2DQO_MAX,io_ac,ps,nCK,CK,"WCK to DQ output offset max. Read output timing과 tRTW에 사용",Table477_Table478,"WCK FM|DVFS mode|data rate","wck_fm|dvfs mode|data_rate|tCK|temp/volt variation coefficient","MR11|MR21",seeded_with_tbd
