source_table,read_link_protection,dvfsl,mr1_op,data_rate_lower_mbps,data_rate_upper_mbps,ck_lower_mhz_exclusive,ck_upper_mhz_inclusive,rl_set0_nck,rl_set1_nck,rl_set2_nck,twckenl_rd_set0_nck,twckenl_rd_set1_nck,twckenl_rd_set2_nck,twckpre_static_nck,twckpre_toggle_rd_half_nck,twckpre_toggle_rd_full_nck,twckpre_total_rd_nck,status
Table256,disabled,disabled,00000,80,1067,20,267,7,7,8,0,0,1,2,0,5,7,seeded
Table256,disabled,disabled,00001,1067,1600,267,400,9,10,11,2,3,4,2,0,5,7,seeded
Table256,disabled,disabled,00010,1600,2133,400,533,12,13,14,4,5,6,2,0,6,8,seeded
Table256,disabled,disabled,00011,2133,2750,533,688,15,17,18,5,7,8,3,0,7,10,seeded
Table256,disabled,disabled,00100,2750,3200,688,800,17,19,21,7,9,11,3,0,7,10,seeded
Table256,disabled,disabled,00101,3200,3750,800,938,20,22,24,9,11,13,4,0,7,11,seeded
Table256,disabled,disabled,00110,3750,4267,938,1067,23,25,28,10,12,15,4,0,9,13,seeded
Table256,disabled,disabled,00111,4267,4800,1067,1200,26,28,31,12,14,17,5,0,9,14,seeded
Table256,disabled,disabled,01000,4800,5500,1200,1375,30,32,35,15,17,20,6,0,9,15,seeded
Table256,disabled,disabled,01001,5500,6400,1375,1600,34,37,41,17,20,24,6,2,9,17,seeded
Table256,disabled,disabled,01010,6400,7500,1600,1875,40,44,48,21,25,29,7,2,10,19,seeded
Table256,disabled,disabled,01011,7500,8533,1875,2133,46,50,54,26,30,34,8,2,10,20,seeded
Table256,disabled,disabled,01100,8533,9600,2133,2400,52,56,62,29,33,39,9,2,12,23,seeded
Table256,disabled,disabled,01101,9600,10667,2400,2667,56,62,68,32,38,44,10,2,12,24,seeded
Table256,disabled,disabled,01110,10667,11733,2667,2933,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,tbd
Table256,disabled,disabled,01111,11733,12800,2933,3200,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,tbd
Table256,disabled,disabled,10000,12800,14400,3200,3600,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,tbd
Table257,enabled,disabled,00000,80,1067,20,267,7,8,NA,0,1,NA,2,0,5,7,seeded
Table257,enabled,disabled,00001,1067,1600,267,400,11,11,NA,4,4,NA,2,0,5,7,seeded
Table257,enabled,disabled,00010,1600,2133,400,533,14,15,NA,6,7,NA,2,0,6,8,seeded
Table257,enabled,disabled,00011,2133,2750,533,688,17,19,NA,7,9,NA,3,0,7,10,seeded
Table257,enabled,disabled,00100,2750,3200,688,800,20,22,NA,10,12,NA,3,0,7,10,seeded
Table257,enabled,disabled,00101,3200,3750,800,938,23,25,NA,12,14,NA,4,0,7,11,seeded
Table257,enabled,disabled,00110,3750,4267,938,1067,26,28,NA,13,15,NA,4,0,9,13,seeded
Table257,enabled,disabled,00111,4267,4800,1067,1200,29,32,NA,15,18,NA,5,0,9,14,seeded
Table257,enabled,disabled,01000,4800,5500,1200,1375,33,36,NA,18,21,NA,6,0,9,15,seeded
Table257,enabled,disabled,01001,5500,6400,1375,1600,39,42,NA,22,25,NA,6,2,9,17,seeded
Table257,enabled,disabled,01010,6400,7500,1600,1875,46,50,NA,27,31,NA,7,2,10,19,seeded
Table257,enabled,disabled,01011,7500,8533,1875,2133,52,56,NA,32,36,NA,8,2,10,20,seeded
Table257,enabled,disabled,01100,8533,9600,2133,2400,58,64,NA,35,41,NA,9,2,12,23,seeded
Table257,enabled,disabled,01101,9600,10667,2400,2667,64,70,NA,40,46,NA,10,2,12,24,seeded
Table257,enabled,disabled,01110,10667,11733,2667,2933,TBD,TBD,NA,TBD,TBD,NA,TBD,TBD,TBD,TBD,tbd
Table257,enabled,disabled,01111,11733,12800,2933,3200,TBD,TBD,NA,TBD,TBD,NA,TBD,TBD,TBD,TBD,tbd
Table257,enabled,disabled,10000,12800,14400,3200,3600,TBD,TBD,NA,TBD,TBD,NA,TBD,TBD,TBD,TBD,tbd
Table258,disabled,enabled,00000,80,1067,20,267,7,8,9,0,1,2,2,0,5,7,seeded
Table258,disabled,enabled,00001,1067,1600,267,400,10,11,12,3,4,5,2,0,5,7,seeded
Table258,disabled,enabled,00010,1600,2133,400,533,14,15,16,6,7,8,2,0,6,8,seeded
Table258,disabled,enabled,00011,2133,2750,533,688,17,19,21,7,9,11,3,0,7,10,seeded
Table258,disabled,enabled,00100,2750,3200,688,800,20,22,24,10,12,14,3,0,7,10,seeded
Table259,enabled,enabled,00000,80,1067,20,267,8,9,NA,1,2,NA,2,0,5,7,seeded
Table259,enabled,enabled,00001,1067,1600,267,400,12,13,NA,5,6,NA,2,0,5,7,seeded
Table259,enabled,enabled,00010,1600,2133,400,533,15,17,NA,7,9,NA,2,0,6,8,seeded
Table259,enabled,enabled,00011,2133,2750,533,688,19,21,NA,9,11,NA,3,0,7,10,seeded
Table259,enabled,enabled,00100,2750,3200,688,800,22,24,NA,12,14,NA,3,0,7,10,seeded
