source_table,mr1_op,data_rate_lower_mbps,data_rate_upper_mbps,ck_lower_mhz_exclusive,ck_upper_mhz_inclusive,wl_set_a_nck,wl_set_b_nck,twckenl_wr_set_a_nck,twckenl_wr_set_b_nck,twckpre_static_nck,twckpre_toggle_wr_half_nck,twckpre_toggle_wr_full_nck,twckpre_total_wr_nck,status
Table260,00000,80,1067,20,267,4,5,0,1,2,0,2,4,seeded
Table260,00001,1067,1600,267,400,6,7,2,3,2,0,2,4,seeded
Table260,00010,1600,2133,400,533,8,10,4,6,2,0,2,4,seeded
Table260,00011,2133,2750,533,688,8,13,2,7,3,0,3,6,seeded
Table260,00100,2750,3200,688,800,10,15,4,9,3,0,3,6,seeded
Table260,00101,3200,3750,800,938,12,18,5,11,4,0,3,7,seeded
Table260,00110,3750,4267,938,1067,12,21,5,14,4,0,3,7,seeded
Table260,00111,4267,4800,1067,1200,14,24,6,16,5,0,3,8,seeded
Table260,01000,4800,5500,1200,1375,16,28,7,19,6,0,3,9,seeded
Table260,01001,5500,6400,1375,1600,18,32,7,21,6,2,3,11,seeded
Table260,01010,6400,7500,1600,1875,20,38,7,25,7,2,4,13,seeded
Table260,01011,7500,8533,1875,2133,22,44,8,30,8,2,4,14,seeded
Table260,01100,8533,9600,2133,2400,24,50,9,35,9,2,4,15,seeded
Table260,01101,9600,10667,2400,2667,26,54,10,38,10,2,4,16,seeded
Table260,01110,10667,11733,2667,2933,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,tbd
Table260,01111,11733,12800,2933,3200,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,tbd
Table260,10000,12800,14400,3200,3600,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,tbd
